"Term","Frequency","Correlation"
"home",8,0.0328265899814739
"issu",9,0.0324611275479007
"tenor",2,0.0323943024193771
"northeastern",3,0.031799599708539
"albert",4,0.0312639955122447
"voluntarili",8,0.0309625561349867
"abovenam",1,0.0296604225122336
"asa",1,0.0296604225122336
"ashewasega",1,0.0296604225122336
"baril",1,0.0296604225122336
"batchewanaung",1,0.0296604225122336
"bell",1,0.0296604225122336
"canda",1,0.0296604225122336
"doki",1,0.0296604225122336
"fifthnamassin",1,0.0296604225122336
"grondin",1,0.0296604225122336
"idowekesi",1,0.0296604225122336
"kageshewawetung",1,0.0296604225122336
"keokous",1,0.0296604225122336
"kitchepossigyn",1,0.0296604225122336
"maganetawang",1,0.0296604225122336
"maisquaso",1,0.0296604225122336
"mashekyash",1,0.0296604225122336
"maskinong",1,0.0296604225122336
"metigomin",1,0.0296604225122336
"minwapapenass",1,0.0296604225122336
"mishequanga",1,0.0296604225122336
"mishequonga",1,0.0296604225122336
"mishoquet",1,0.0296604225122336
"mishoquetto",1,0.0296604225122336
"mississaga",1,0.0296604225122336
"muckata",1,0.0296604225122336
"muckatamishaquet",1,0.0296604225122336
"naishconteong",1,0.0296604225122336
"namassin",1,0.0296604225122336
"naoquagabo",1,0.0296604225122336
"nebenaigoch",1,0.0296604225122336
"nekickshegesh",1,0.0296604225122336
"nessinassung",1,0.0296604225122336
"ocheek",1,0.0296604225122336
"ogawaminang",1,0.0296604225122336
"okickandawt",1,0.0296604225122336
"oningegun",1,0.0296604225122336
"pamequonaishcung",1,0.0296604225122336
"pamequonaisheug",1,0.0296604225122336
"panaissi",1,0.0296604225122336
"papasains",1,0.0296604225122336
"paqwatchinini",1,0.0296604225122336
"partridg",1,0.0296604225122336
"pawiss",1,0.0296604225122336
"penebewabecong",1,0.0296604225122336
"penetanguishin",1,0.0296604225122336
"ponekeosh",1,0.0296604225122336
"qacloch",1,0.0296604225122336
"serpent",1,0.0296604225122336
"shabokishick",1,0.0296604225122336
"shawenakeshick",1,0.0296604225122336
"shawenakishick",1,0.0296604225122336
"shawonebin",1,0.0296604225122336
"shebawenan",1,0.0296604225122336
"shenaoquom",1,0.0296604225122336
"shinguacous",1,0.0296604225122336
"squirrel",1,0.0296604225122336
"superintendentgener",1,0.0296604225122336
"tagawinini",1,0.0296604225122336
"thessalon",1,0.0296604225122336
"thirdkitcheposkissegan",1,0.0296604225122336
"twelfh",1,0.0296604225122336
"twothird",1,0.0296604225122336
"wabakekik",1,0.0296604225122336
"wagemak",1,0.0296604225122336
"wagemaki",1,0.0296604225122336
"wanabekineyunnung",1,0.0296604225122336
"wanabeyakokaun",1,0.0296604225122336
"wanabitasek",1,0.0296604225122336
"wanabitib",1,0.0296604225122336
"waquacomick",1,0.0296604225122336
"wasaques",1,0.0296604225122336
"washauwenega",1,0.0296604225122336
"waswanay",1,0.0296604225122336
"watachewana",1,0.0296604225122336
"windawtegawinini",1,0.0296604225122336
"windawtegowinini",1,0.0296604225122336
"wwbekekik",1,0.0296604225122336
"mutual",3,0.0294591570976303
"ash",2,0.028973995978941
"inland",3,0.0288618275386818
"ste",2,0.0286546927855607
"communic",8,0.0284558773064627
"million",4,0.0284068659068745
"say",22,0.0278133550341554
"token",3,0.0275661471325939
"otter",3,0.0271982429987295
"woman",10,0.0269544166155646
"adequ",3,0.0264885857746191
"adjut",1,0.0263552991486264
"cabibonik",1,0.0263552991486264
"cabibonikem",1,0.0263552991486264
"kawahkitahquebi",1,0.0263552991486264
"kawwahkitahqubi",1,0.0263552991486264
"pagitaniquatoib",1,0.0263552991486264
"vaughan",1,0.0263552991486264
"weggishigomin",1,0.0263552991486264
"thirteen",3,0.0255302483388201
"witnesseth",16,0.0254778041293557
"explor",2,0.0253313017453749
"gros",2,0.0253313017453749
"search",2,0.0253313017453749
"inclus",2,0.0252408525352571
"twentyseven",6,0.0252119866379302
